Financiele Resultaten,wisselkoersverschillen;
Omzet,diverse opb;
Financiele Resultaten,bankkosten Citi;
Belastingen,belastingen;
Omzet,commissie;
Omzet,diverse opb;
Algemene onkosten,erelonen;
Financiele Resultaten,intresten;
Financiele Resultaten,wisselkoersverschillen;
Omzet,diverse opb;
Uitzonderlijke,uitzonderlijke;
Belastingen,belastingen;
Algemene onkosten,huur gebouwen;
Algemene onkosten,interne provisie;
Algemene onkosten,telecommunicatie;
Algemene onkosten,post;
Algemene onkosten,bureelbenodigdheden;
Algemene onkosten,beheerskosten SD & MC;
Algemene onkosten,lidgelden;
Algemene onkosten,verpl en reiskost buitenland;
Algemene onkosten,rec en repr 50%;
Algemene onkosten,publiciteit;
Algemene onkosten,erelonen;
Omzet,diverse opb;
Personeelskosten,loonlijst;
Personeelskosten,rsz;
Personeelskosten,hospitalisatievergoeding;
Personeelskosten,drank en voeding;
Financiele Resultaten,intrestkosten;
Financiele Resultaten,wisselkoersverschillen;
Financiele Resultaten,bankkosten Citi;
Financiele Resultaten,bankkosten overige;
Belastingen,Belastingen;
Omzet,commissie;
Financiele Resultaten,intresten;
Financiele Resultaten,wisselkoersverschillen;
Belastingen,belastingen;
Algemene onkosten,huur gebouwen;
Algemene onkosten,onderhoud gebouwen algemeen;
Algemene onkosten,schoonmaak;
Algemene onkosten,onderhoud mach & m;
Informaticakosten,afstand aan informatica;
Algemene onkosten,interne provisie;
Algemene onkosten,telecommunicatie;
Algemene onkosten,post;
Algemene onkosten,tijdschriften en dagbladen;
Algemene onkosten,bureelbenodigdheden;
Algemene onkosten,lidgelden;
Algemene onkosten,verpl en reiskost buitenland;
Algemene onkosten,rec en repr 50%;
Algemene onkosten,publiciteit;
Algemene onkosten,vorming;
Algemene onkosten,erelonen;
Omzet,diverse opb;
Omzet,beheersvergoeding;
Personeelskosten,loonlijst;
Algemene onkosten,diverse ao;
Personeelskosten,verzekering personeel;
Personeelskosten,loonlijst;
Personeelskosten,drank en voeding;
Personeelskosten,loonlijst;
Algemene onkosten,afschrijving vast actief;
Omzet,diverse opb;
Financiele Resultaten,intrestkosten;
Financiele Resultaten,wisselkoersverschillen;
Omzet,diverse opb;
Financiele Resultaten,bankkosten Citi;
Financiele Resultaten,bankkosten overige;
Belastingen,belastingen;
Omzet,commissie;
Omzet,afstand cie;
Omzet,commissie;
Algemene onkosten,erelonen;
Financiele Resultaten,intresten;
Financiele Resultaten,wisselkoersverschillen;
Algemene onkosten,huur gebouwen;
Algemene onkosten,onderhoud gebouwen algemeen;
Algemene onkosten,onderhoud mach & m;
Informaticakosten,afstand aan informatica;
Algemene onkosten,interne provisie;
Algemene onkosten,huur kantoormachines;
Algemene onkosten,telecommunicatie;
Algemene onkosten,post;
Algemene onkosten,boeken en losbl. Publicatie;
Algemene onkosten,bureelbenodigdheden;
Algemene onkosten,verzekering nt pers;
Algemene onkosten,huur auto's;
Algemene onkosten,beheerskosten SD & MC;
Algemene onkosten,lidgelden;
